id,input,target,response,score,input_tokens,output_tokens,duration_ms
75,"Acting IRS commissioner to step down amid DOGE blitz on agency
The acting commissioner of the IRS wi...",DOGE,DOGE,1.0,890,3,1243
76,"Trump directs agency heads to review funding for NGOs
President Donald Trump sent a memorandum Frida...",Foreign aid,Foreign aid,1.0,696,3,2484
77,"Early education programs can’t access federal funding to pay bills
Providers of the national program...",Federal grant pause,Department of Education,0.0,571,4,1523
78,"Prosecutor quits after order to drop corruption case against N.Y. Mayor Eric Adams
NEW YORK — Hagan ...",Eric Adams case,Eric Adams case,1.0,426,4,3441
79,"State attorneys general say they will sue to block pause on federal grants
At least 20 states have b...",Federal grant pause,Federal grant pause,1.0,509,4,1458
80,"Trump administration seeks more power to fire independent regulators
The Trump administration has to...",Firing government watchdogs,Expanding executive power,0.0,2096,5,1004
81,"Ed Dept DOGE team cancels $900 million in research contracts
The Education Department on Monday shut...",DOGE,Department of Education,0.0,676,4,707
82,"Trump signs executive order seeking more death sentences
President Donald Trump on Monday signed an ...",Other,Other,1.0,799,2,4000
83,"Trump says new tariffs on computer chips are coming
President Donald Trump said he would soon announ...",Tariffs,Tariffs,1.0,729,3,1248
84,"Trump signing executive order intended to reduce federal workforce
President Donald Trump on Tuesday...",Federal workforce reductions,Federal workforce reductions,1.0,691,4,933
85,"Transgender troops will be removed from U.S. military, Pentagon says
Openly transgender service memb...",Transgender policy,Transgender policy,1.0,1964,4,5424
86,"U.S. troops arrive at Guantánamo Bay in Trump migrant crackdown
Infantry Marines and other U.S. troo...",Guantánamo Bay,Guantánamo Bay,1.0,562,6,800
87,"Mexico extradites 29 drug suspects to U.S. as Trump threatens sanctions
MEXICO CITY — Mexico extradi...",Tariffs,U.S.-Mexico border,0.0,1634,6,1861
88,"Trump orders sweeping review of federal regulations
President Donald Trump ordered federal agencies ...",Other,Expanding executive power,0.0,674,5,1034
89,"Trump revokes security clearances for dozens of former national security officials
Trump in an execu...",Targeting political enemies,Targeting political enemies,1.0,562,5,1839
90,"Several administration officials tell workers not to reply to Musk email
Elon Musk’s demand that all...",DOGE,Other,0.0,2351,2,892
91,"Migrants at border get message saying CBP One appointments ‘no longer valid’
CIUDAD JUÁREZ, Mexico —...",Immigration policy,U.S.-Mexico border,0.0,583,6,4931
92,"Trump allies rejoice, Democrats sound alarm over latest FBI appointment
President Donald Trump <a hr...",Other,D.C.,0.0,878,4,890
93,"Supreme Court grants Trump request to pause USAID payments order
Chief Justice John G. Roberts Jr. g...",USAID,Foreign aid,0.0,1434,3,5191
94,"Hegseth takes action against Trump foe Mark Milley
Defense Secretary Pete Hegseth has decided to rem...",Targeting political enemies,Targeting political enemies,1.0,455,5,1710
95,"Treasury agrees to block DOGE’s access to personal taxpayer data at IRS
The Trump White House<b> </b...",DOGE,DOGE,1.0,766,3,1063
96,"Trump fires Federal Labor Relations Authority member
President <a href=""https://www.washingtonpost.c...",Firing government watchdogs,Targeting political enemies,0.0,557,5,1251
97,"Trump backs off trade threats after Colombia agrees to deportation flights
The United States and Col...",Deportations,Deportations,1.0,420,4,2038
