id,input,target,response,score,input_tokens,output_tokens,duration_ms
45,"Trump, Maine Gov. Mills spar over executive order on transgender athletes
President Donald Trump and...",Transgender policy,Transgender policy,1.0,674,6,1509
46,"Lawsuit filed over Trump’s order targeting transgender service members
President Donald Trump’s <a h...",Transgender policy,Transgender policy,1.0,766,6,1828
47,"National Science Foundation halts reviews of research proposals
The National Science Foundation has ...",Health agencies' communications pause,Other,0.0,676,4,2037
48,"Labor Department blocked from sharing data with DOGE, email says
The U.S. Labor Department has been ...",DOGE,DOGE,1.0,602,6,1663
49,"Vaccine meeting to prepare for coming winter’s flu season canceled
Trump officials have canceled a f...",Health care,Health care,1.0,1125,5,2188
50,"Trump plans emerge to use U.S. military bases for immigrant detention
A Space Force military base in...",Immigration policy,Deportations,0.0,653,6,2381
51,"Some agency heads mandate that employees report efforts to ‘disguise’ DEI programs
President Donald ...",DEI in the federal government,DEI in the federal government,1.0,640,9,2221
52,"Trump signs executive order to create crypto council, reduce regulation
President Donald Trump on Th...",Crypto,Crypto,1.0,659,5,1471
53,"Trump proposes permanent displacement of Gazans as he welcomes Netanyahu to White House
President <a...",Gaza,Gaza,1.0,591,4,1692
54,"Judge orders Trump administration to pay millions in USAID funds
A federal judge on Tuesday ordered ...",USAID,USAID,1.0,1540,6,1653
55,"Trump says he wants to send ‘repeat offenders’ in U.S. legally to foreign countries
DORAL, Fla. — Pr...",Deportations,Immigration policy,0.0,532,5,1721
56,"Trump reinstates plan to strip protections from federal workers
President <a href=""https://www.washi...",Reclassifying federal jobs,Reclassifying federal jobs,1.0,483,10,1725
57,"Federal board halts firings of six probationary employees amid Trump cuts
An independent federal boa...",Federal workforce reductions,Federal workforce reductions,1.0,1660,7,1997
58,President Donald Trump signed an executive order on Monday requiring the federal government to retur...,Climate,Other,0.0,419,4,1753
59,"Trump freezes hiring for many federal jobs
The White House issued a freeze on the hiring of civilian...",Federal workforce reductions,Federal workforce reductions,1.0,471,7,1533
60,"Acting ICE director removed amid White House pressure to boost arrests
The Trump administration has ...",Senior government officials ousted,Deportations,0.0,2016,6,2134
61,"Trump appoints leader of his Secret Service detail to head agency
President Donald Trump said Wednes...",Other,Other,1.0,736,4,1833
62,"Judge allows intelligence agencies to fire officers in DEI roles
A federal judge on Thursday refused...",DEI in the federal government,DEI in the federal government,1.0,1616,9,2070
63,"Native leaders warn that freezing of federal funds could imperil some services
Native American leade...",Federal grant pause,Federal funding,0.0,701,5,3071
64,"Suit charges violation of Privacy Act as DOGE accesses personal data
A coalition of labor unions and...",DOGE,DOGE,1.0,590,6,1433
65,"Judge briefly extends order barring Trump from firing watchdog leader
A federal judge on Wednesday e...",Firing government watchdogs,Firing government watchdogs,1.0,884,9,1950
66,"Layoffs to hit IRS as DOGE targets tax collections
The Trump administration is expected to begin lay...",DOGE,DOGE,1.0,1228,6,1703
67,"Education Dept. launches investigation into Maine over transgender policies
The Education Department...",Transgender policy,Transgender policy,1.0,717,6,1659
68,"Judge forces lawyers for fired inspectors general to withdraw TRO request
Lawyers for eight inspecto...",Firing government watchdogs,Firing government watchdogs,1.0,762,9,2013
69,"White House, in reversal, rescinds freeze on federal grants
The White House budget office on Wednesd...",Federal grant pause,Federal grant pause,1.0,451,6,2889
70,"EPA puts 168 environmental justice staffers on administrative leave
Trump appointees at the Environm...",DEI in the federal government,DEI in the federal government,1.0,616,9,1810
71,"Layoffs loom as Trump administration orders federal DEI workers on leave
President Donald Trump’s ad...",DEI in the federal government,DEI in the federal government,1.0,550,9,2060
72,"Pentagon to fire 5,400 civilian employees in ‘initial’ purge
The Pentagon said Friday that it will f...",Federal workforce reductions,Federal workforce reductions,1.0,2232,7,2143
73,"Judge temporarily blocks DOGE access to sensitive information at two agencies
A federal judge on Mon...",DOGE,DOGE,1.0,1218,6,2949
74,"Farmers sue USDA after agency deletes climate change data
A group of farmers and environmental nonpr...",Climate,Climate,1.0,1889,4,3253
75,"Acting IRS commissioner to step down amid DOGE blitz on agency
The acting commissioner of the IRS wi...",DOGE,DOGE,1.0,1012,6,2056
76,"Trump directs agency heads to review funding for NGOs
President Donald Trump sent a memorandum Frida...",Foreign aid,Federal funding,0.0,785,5,2773
77,"Early education programs can’t access federal funding to pay bills
Providers of the national program...",Federal grant pause,Federal funding,0.0,623,5,1958
78,"Prosecutor quits after order to drop corruption case against N.Y. Mayor Eric Adams
NEW YORK — Hagan ...",Eric Adams case,Eric Adams case,1.0,470,6,2259
79,"State attorneys general say they will sue to block pause on federal grants
At least 20 states have b...",Federal grant pause,Federal grant pause,1.0,571,6,1683
80,"Trump administration seeks more power to fire independent regulators
The Trump administration has to...",Firing government watchdogs,Expanding executive power,0.0,2319,7,2538
81,"Ed Dept DOGE team cancels $900 million in research contracts
The Education Department on Monday shut...",DOGE,DOGE,1.0,744,6,2309
82,"Trump signs executive order seeking more death sentences
President Donald Trump on Monday signed an ...",Other,Other,1.0,870,4,1983
83,"Trump says new tariffs on computer chips are coming
President Donald Trump said he would soon announ...",Tariffs,Tariffs,1.0,813,6,2006
84,"Trump signing executive order intended to reduce federal workforce
President Donald Trump on Tuesday...",Federal workforce reductions,Federal workforce reductions,1.0,786,7,3264
85,"Transgender troops will be removed from U.S. military, Pentagon says
Openly transgender service memb...",Transgender policy,Transgender policy,1.0,2134,6,2797
86,"U.S. troops arrive at Guantánamo Bay in Trump migrant crackdown
Infantry Marines and other U.S. troo...",Guantánamo Bay,Guantánamo Bay,1.0,615,9,2915
87,"Mexico extradites 29 drug suspects to U.S. as Trump threatens sanctions
MEXICO CITY — Mexico extradi...",Tariffs,Tariffs,1.0,1860,6,2404
88,"Trump orders sweeping review of federal regulations
President Donald Trump ordered federal agencies ...",Other,DOGE,0.0,743,6,2757
89,"Trump revokes security clearances for dozens of former national security officials
Trump in an execu...",Targeting political enemies,Targeting political enemies,1.0,612,7,3215
90,"Several administration officials tell workers not to reply to Musk email
Elon Musk’s demand that all...",DOGE,DOGE,1.0,2590,6,3757
91,"Migrants at border get message saying CBP One appointments ‘no longer valid’
CIUDAD JUÁREZ, Mexico —...",Immigration policy,Immigration policy,1.0,646,5,1712
92,"Trump allies rejoice, Democrats sound alarm over latest FBI appointment
President Donald Trump <a hr...",Other,Senior government officials ousted,0.0,974,8,2153
93,"Supreme Court grants Trump request to pause USAID payments order
Chief Justice John G. Roberts Jr. g...",USAID,USAID,1.0,1553,6,2175
94,"Hegseth takes action against Trump foe Mark Milley
Defense Secretary Pete Hegseth has decided to rem...",Targeting political enemies,Targeting political enemies,1.0,503,7,1736
95,"Treasury agrees to block DOGE’s access to personal taxpayer data at IRS
The Trump White House<b> </b...",DOGE,DOGE,1.0,842,6,1992
96,"Trump fires Federal Labor Relations Authority member
President <a href=""https://www.washingtonpost.c...",Firing government watchdogs,Senior government officials ousted,0.0,627,8,2091
97,"Trump backs off trade threats after Colombia agrees to deportation flights
The United States and Col...",Deportations,Deportations,1.0,461,6,1439
