id,input,target,response,score,input_tokens,output_tokens,duration_ms
76,"Trump directs agency heads to review funding for NGOs
President Donald Trump sent a memorandum Frida...",Foreign aid,Federal funding,0.0,707,0,837
77,"Early education programs can’t access federal funding to pay bills
Providers of the national program...",Federal grant pause,Federal grant pause,1.0,568,0,1029
78,"Prosecutor quits after order to drop corruption case against N.Y. Mayor Eric Adams
NEW YORK — Hagan ...",Eric Adams case,Eric Adams case,1.0,423,0,802
79,"State attorneys general say they will sue to block pause on federal grants
At least 20 states have b...",Federal grant pause,Federal grant pause,1.0,520,0,1081
80,"Trump administration seeks more power to fire independent regulators
The Trump administration has to...",Firing government watchdogs,Expanding executive power,0.0,2109,0,1301
81,"Ed Dept DOGE team cancels $900 million in research contracts
The Education Department on Monday shut...",DOGE,Department of Education,0.0,675,0,915
82,"Trump signs executive order seeking more death sentences
President Donald Trump on Monday signed an ...",Other,Other,1.0,812,0,1181
83,"Trump says new tariffs on computer chips are coming
President Donald Trump said he would soon announ...",Tariffs,Tariffs,1.0,747,0,903
84,"Trump signing executive order intended to reduce federal workforce
President Donald Trump on Tuesday...",Federal workforce reductions,Federal workforce reductions,1.0,718,0,669
85,"Transgender troops will be removed from U.S. military, Pentagon says
Openly transgender service memb...",Transgender policy,Transgender policy,1.0,2066,0,1329
86,"U.S. troops arrive at Guantánamo Bay in Trump migrant crackdown
Infantry Marines and other U.S. troo...",Guantánamo Bay,Guantánamo Bay,1.0,562,0,1380
89,"Trump revokes security clearances for dozens of former national security officials
Trump in an execu...",Targeting political enemies,Targeting political enemies,1.0,575,0,1515
17,"Vaccine safety panel long criticized by RFK Jr. told to postpone meeting
The Trump administration ha...",Health care,Health care,1.0,482,0,1347
18,"Judge says Trump officials have not complied with order to restart foreign aid
A federal judge in D....",Foreign aid,Foreign aid,1.0,530,0,807
19,"Trump says he will fire Kennedy Center board members, appoint himself chairman
President Donald Trum...",Kennedy Center,Kennedy Center,1.0,402,0,1327
20,"Arab leaders scramble for alternative to Trump’s Gaza proposal
President Donald Trump’s plan to remo...",Gaza,Gaza,1.0,2139,0,1348
21,"Trump shuts off access to asylum, plans to send 10,000 troops to border
President <a href=""https://w...",U.S.-Mexico border,U.S.-Mexico border,1.0,435,0,1377
22,"Trump appoints loyalists to Kennedy Center board
President Donald Trump was officially elected chair...",Kennedy Center,Kennedy Center,1.0,614,0,1159
23,President Donald Trump signed an executive order Monday creating the “Department of Government Effic...,DOGE,DOGE,1.0,368,0,929
24,"HUD moves to cancel $1.1 billion in already-awarded housing upgrades
The Department of Housing and U...",Federal funding,Federal grant pause,0.0,591,0,711
25,"FAA targeting Verizon contract in favor of Musk’s Starlink, sources say
The Federal Aviation Adminis...",Other,Expanding executive power,0.0,1827,0,1201
26,"Trump: Government will sell $5 million ‘gold card’ to wealthy immigrants
President Donald Trump said...",Immigration policy,Immigration policy,1.0,684,0,977
27,"Trump says administration looking at sending criminals out of country
“Numerous countries” have offe...",Deportations,Deportations,1.0,475,0,1306
28,"Pentagon says ‘identity months’  like Black History Month are ‘dead’
Shortly after President Donald ...",DEI in the federal government,DEI in the federal government,1.0,540,0,1809
29,"U.S., Ukraine near deal to grant mineral rights to Washington
The Trump administration and the Ukrai...",War in Ukraine,Foreign policy,0.0,370,0,744
30,"Trump to build mass detention camp for deportees at Guantánamo Bay
President <a href=""https://www.wa...",Guantánamo Bay,Deportations,0.0,503,0,701
31,"Federal judge blocks Trump from slashing NIH funding in 22 states that sued
A federal district judge...",NIH,NIH,1.0,453,0,614
32,"New Kennedy Center board elects Trump as chair. Rutter departs as president.
The Kennedy Center boar...",Kennedy Center,Kennedy Center,1.0,546,0,960
33,"In new order, Trump administration places more USAID staff on leave
The Trump administration put sco...",USAID,USAID,1.0,683,0,1185
34,"Dept. of Homeland Security wants IRS to help with immigration enforcement
Homeland Security Secretar...",Immigration policy,Immigration policy,1.0,383,0,1009
35,"Trump administration orders Pentagon to plan for sweeping budget cuts
Defense Secretary Pete Hegseth...",Federal funding,Foreign policy,0.0,456,0,774
36,"Trump threatens to cut U.S. aid to South Africa over land law
NAIROBI — President <a href=""https://w...",Foreign aid,Foreign aid,1.0,459,0,1153
37,"Trump announces 25% tariffs on steel and aluminum, including for Canada and Mexico
President Donald ...",Tariffs,Tariffs,1.0,486,0,1229
40,"CFPB prepares to end lease on headquarters building, ahead of expected cuts
The Trump administration...",CFPB,CFPB,1.0,449,0,804
42,"Trump says he ordered Treasury Department to stop producing new pennies
President <a href=""https://w...",Other,Federal funding,0.0,453,0,764
43,"Federal agencies must revise telework policies by Friday, White House says
Heads of federal agencies...",Federal workers return to office,Federal workers return to office,1.0,487,0,1294
38,"Trump moves to narrow independence of Fed, along with other Wall Street overseers
The Trump administ...",Expanding executive power,Expanding executive power,1.0,1862,0,1174
39,"Trump, Modi aim to cut U.S. trade gap with India amid global tariff concerns
The United States and I...",Tariffs,Tariffs,1.0,2526,0,1135
41,"Justice Dept. hires for court battles as Trump slashes other agencies
The Justice Department is recr...",Other,Immigration policy,0.0,1650,0,1193
44,"Trump administration freezes funds to Palestinian security forces
JERICHO, West Bank — The Trump adm...",Foreign aid,Foreign aid,1.0,1177,0,1142
45,"Trump, Maine Gov. Mills spar over executive order on transgender athletes
President Donald Trump and...",Transgender policy,Transgender policy,1.0,636,0,1285
46,"Lawsuit filed over Trump’s order targeting transgender service members
President Donald Trump’s <a h...",Transgender policy,Transgender policy,1.0,717,0,812
47,"National Science Foundation halts reviews of research proposals
The National Science Foundation has ...",Health agencies' communications pause,DEI in the federal government,0.0,610,0,1055
48,"Labor Department blocked from sharing data with DOGE, email says
The U.S. Labor Department has been ...",DOGE,DOGE,1.0,542,0,1096
49,"Vaccine meeting to prepare for coming winter’s flu season canceled
Trump officials have canceled a f...",Health care,Health care,1.0,1066,0,872
50,"Trump plans emerge to use U.S. military bases for immigrant detention
A Space Force military base in...",Immigration policy,Immigration policy,1.0,590,0,1046
51,"Some agency heads mandate that employees report efforts to ‘disguise’ DEI programs
President Donald ...",DEI in the federal government,DEI in the federal government,1.0,587,0,1222
52,"Trump signs executive order to create crypto council, reduce regulation
President Donald Trump on Th...",Crypto,Crypto,1.0,603,0,966
53,"Trump proposes permanent displacement of Gazans as he welcomes Netanyahu to White House
President <a...",Gaza,Gaza,1.0,534,0,1122
54,"Judge orders Trump administration to pay millions in USAID funds
A federal judge on Tuesday ordered ...",USAID,USAID,1.0,1450,0,1102
58,President Donald Trump signed an executive order on Monday requiring the federal government to retur...,Climate,Federal worker return to office,0.0,384,0,1446
