id,input,target,response,score,input_tokens,output_tokens,duration_ms
43,"Federal agencies must revise telework policies by Friday, White House says
Heads of federal agencies...",Federal workers return to office,Federal workers return to office,1.0,481,6,2389
44,"Trump administration freezes funds to Palestinian security forces
JERICHO, West Bank — The Trump adm...",Foreign aid,Foreign aid,1.0,1163,3,1629
45,"Trump, Maine Gov. Mills spar over executive order on transgender athletes
President Donald Trump and...",Transgender policy,Transgender policy,1.0,618,4,2756
46,"Lawsuit filed over Trump’s order targeting transgender service members
President Donald Trump’s <a h...",Transgender policy,Transgender policy,1.0,698,4,747
47,"National Science Foundation halts reviews of research proposals
The National Science Foundation has ...",Health agencies' communications pause,Federal grant pause,0.0,610,4,934
48,"Labor Department blocked from sharing data with DOGE, email says
The U.S. Labor Department has been ...",DOGE,DOGE,1.0,542,3,1002
49,"Vaccine meeting to prepare for coming winter’s flu season canceled
Trump officials have canceled a f...",Health care,Health agencies' communications pause,0.0,1034,6,1025
50,"Trump plans emerge to use U.S. military bases for immigrant detention
A Space Force military base in...",Immigration policy,Deportations,0.0,593,4,1054
51,"Some agency heads mandate that employees report efforts to ‘disguise’ DEI programs
President Donald ...",DEI in the federal government,DEI in the federal government,1.0,584,7,1942
52,"Trump signs executive order to create crypto council, reduce regulation
President Donald Trump on Th...",Crypto,Crypto,1.0,605,2,955
53,"Trump proposes permanent displacement of Gazans as he welcomes Netanyahu to White House
President <a...",Gaza,Gaza,1.0,532,3,2414
54,"Judge orders Trump administration to pay millions in USAID funds
A federal judge on Tuesday ordered ...",USAID,USAID,1.0,1409,3,1668
55,"Trump says he wants to send ‘repeat offenders’ in U.S. legally to foreign countries
DORAL, Fla. — Pr...",Deportations,Immigration policy,0.0,481,4,1491
56,"Trump reinstates plan to strip protections from federal workers
President <a href=""https://www.washi...",Reclassifying federal jobs,Reclassifying federal jobs,1.0,436,6,1751
57,"Federal board halts firings of six probationary employees amid Trump cuts
An independent federal boa...",Federal workforce reductions,Federal workforce reductions,1.0,1481,4,1120
58,President Donald Trump signed an executive order on Monday requiring the federal government to retur...,Climate,Other,0.0,379,2,872
59,"Trump freezes hiring for many federal jobs
The White House issued a freeze on the hiring of civilian...",Federal workforce reductions,Federal workforce reductions,1.0,431,4,1871
60,"Acting ICE director removed amid White House pressure to boost arrests
The Trump administration has ...",Senior government officials ousted,Deportations,0.0,1853,4,1528
61,"Trump appoints leader of his Secret Service detail to head agency
President Donald Trump said Wednes...",Other,Other,1.0,678,2,2517
62,"Judge allows intelligence agencies to fire officers in DEI roles
A federal judge on Thursday refused...",DEI in the federal government,DEI in the federal government,1.0,1499,7,1548
63,"Native leaders warn that freezing of federal funds could imperil some services
Native American leade...",Federal grant pause,Federal grant pause,1.0,642,4,1300
64,"Suit charges violation of Privacy Act as DOGE accesses personal data
A coalition of labor unions and...",DOGE,Other,0.0,526,2,1492
65,"Judge briefly extends order barring Trump from firing watchdog leader
A federal judge on Wednesday e...",Firing government watchdogs,Firing government watchdogs,1.0,807,6,935
66,"Layoffs to hit IRS as DOGE targets tax collections
The Trump administration is expected to begin lay...",DOGE,Federal workforce reductions,0.0,1101,4,893
67,"Education Dept. launches investigation into Maine over transgender policies
The Education Department...",Transgender policy,Transgender policy,1.0,665,4,1353
68,"Judge forces lawyers for fired inspectors general to withdraw TRO request
Lawyers for eight inspecto...",Firing government watchdogs,Firing government watchdogs,1.0,687,6,1888
69,"White House, in reversal, rescinds freeze on federal grants
The White House budget office on Wednesd...",Federal grant pause,Federal grant pause,1.0,401,4,2402
70,"EPA puts 168 environmental justice staffers on administrative leave
Trump appointees at the Environm...",DEI in the federal government,DEI in the federal government,1.0,557,7,628
71,"Layoffs loom as Trump administration orders federal DEI workers on leave
President Donald Trump’s ad...",DEI in the federal government,DEI in the federal government,1.0,502,7,2079
72,"Pentagon to fire 5,400 civilian employees in ‘initial’ purge
The Pentagon said Friday that it will f...",Federal workforce reductions,Federal workforce reductions,1.0,2050,4,1272
73,"Judge temporarily blocks DOGE access to sensitive information at two agencies
A federal judge on Mon...",DOGE,Federal worker buyout,0.0,1084,5,1595
74,"Farmers sue USDA after agency deletes climate change data
A group of farmers and environmental nonpr...",Climate,Climate,1.0,1687,2,1644
75,"Acting IRS commissioner to step down amid DOGE blitz on agency
The acting commissioner of the IRS wi...",DOGE,DOGE,1.0,890,3,1199
76,"Trump directs agency heads to review funding for NGOs
President Donald Trump sent a memorandum Frida...",Foreign aid,Foreign aid,1.0,696,3,2749
77,"Early education programs can’t access federal funding to pay bills
Providers of the national program...",Federal grant pause,Federal grant pause,1.0,571,4,3510
78,"Prosecutor quits after order to drop corruption case against N.Y. Mayor Eric Adams
NEW YORK — Hagan ...",Eric Adams case,Eric Adams case,1.0,426,4,1980
79,"State attorneys general say they will sue to block pause on federal grants
At least 20 states have b...",Federal grant pause,Federal grant pause,1.0,509,4,616
80,"Trump administration seeks more power to fire independent regulators
The Trump administration has to...",Firing government watchdogs,Expanding executive power,0.0,2096,5,1633
81,"Ed Dept DOGE team cancels $900 million in research contracts
The Education Department on Monday shut...",DOGE,Department of Education,0.0,676,4,2935
82,"Trump signs executive order seeking more death sentences
President Donald Trump on Monday signed an ...",Other,Expanding executive power,0.0,799,5,1819
83,"Trump says new tariffs on computer chips are coming
President Donald Trump said he would soon announ...",Tariffs,Tariffs,1.0,729,3,758
84,"Trump signing executive order intended to reduce federal workforce
President Donald Trump on Tuesday...",Federal workforce reductions,Federal workforce reductions,1.0,691,4,965
85,"Transgender troops will be removed from U.S. military, Pentagon says
Openly transgender service memb...",Transgender policy,Transgender policy,1.0,1964,4,793
86,"U.S. troops arrive at Guantánamo Bay in Trump migrant crackdown
Infantry Marines and other U.S. troo...",Guantánamo Bay,Guantánamo Bay,1.0,562,6,774
87,"Mexico extradites 29 drug suspects to U.S. as Trump threatens sanctions
MEXICO CITY — Mexico extradi...",Tariffs,Sanctions,0.0,1634,3,610
88,"Trump orders sweeping review of federal regulations
President Donald Trump ordered federal agencies ...",Other,Expanding executive power,0.0,674,5,805
89,"Trump revokes security clearances for dozens of former national security officials
Trump in an execu...",Targeting political enemies,Targeting political enemies,1.0,562,5,1136
90,"Several administration officials tell workers not to reply to Musk email
Elon Musk’s demand that all...",DOGE,Federal workforce reductions,0.0,2351,4,1308
91,"Migrants at border get message saying CBP One appointments ‘no longer valid’
CIUDAD JUÁREZ, Mexico —...",Immigration policy,U.S.-Mexico border,0.0,583,6,757
92,"Trump allies rejoice, Democrats sound alarm over latest FBI appointment
President Donald Trump <a hr...",Other,Targeting political enemies,0.0,878,5,1747
93,"Supreme Court grants Trump request to pause USAID payments order
Chief Justice John G. Roberts Jr. g...",USAID,USAID,1.0,1434,3,1043
94,"Hegseth takes action against Trump foe Mark Milley
Defense Secretary Pete Hegseth has decided to rem...",Targeting political enemies,Targeting political enemies,1.0,455,5,1266
95,"Treasury agrees to block DOGE’s access to personal taxpayer data at IRS
The Trump White House<b> </b...",DOGE,Other,0.0,766,2,1844
96,"Trump fires Federal Labor Relations Authority member
President <a href=""https://www.washingtonpost.c...",Firing government watchdogs,Firing government watchdogs,1.0,557,6,969
97,"Trump backs off trade threats after Colombia agrees to deportation flights
The United States and Col...",Deportations,Deportations,1.0,420,4,1170
